Label,WithinSectionID,AlleleCombo
Sub117 ISO-M-S,117,ISO-M-S
Sub117 ISO-M-M,117,ISO-M-M
Sub117 ISO-M-L,117,ISO-M-L
Sub118 ISO-P-S,118,ISO-P-S
Sub118 ISO-M-S,118,ISO-M-S
Sub118 ISO-M-M,118,ISO-M-M
Sub118 ISO-M-L,118,ISO-M-L
Sub119 ISO-P-S,119,ISO-P-S
Sub119 ISO-M-S,119,ISO-M-S
Sub119 ISO-M-M,119,ISO-M-M
Sub119 ISO-M-L,119,ISO-M-L
Sub120 ISO-P-S,120,ISO-P-S
Sub120 ISO-M-S,120,ISO-M-S
Sub120 ISO-M-M,120,ISO-M-M
Sub120 ISO-M-L,120,ISO-M-L
Sub121 ISO-P-S,121,ISO-P-S
Sub121 ISO-M-S,121,ISO-M-S
Sub121 ISO-M-M,121,ISO-M-M
Sub121 ISO-M-L,121,ISO-M-L
Sub122 ISO-P-S,122,ISO-P-S
Sub122 ISO-M-S,122,ISO-M-S
Sub122 ISO-M-M,122,ISO-M-M
Sub122 ISO-M-L,122,ISO-M-L
Sub123 ISO-P-S,123,ISO-P-S
Sub123 ISO-M-S,123,ISO-M-S
Sub123 ISO-M-M,123,ISO-M-M
Sub123 ISO-M-L,123,ISO-M-L
Sub124 ISO-P-S,124,ISO-P-S
Sub124 ISO-M-S,124,ISO-M-S
Sub124 ISO-M-M,124,ISO-M-M
Sub124 ISO-M-L,124,ISO-M-L
Sub125 ISO-P-S,125,ISO-P-S
Sub125 ISO-M-S,125,ISO-M-S
Sub125 ISO-M-M,125,ISO-M-M
Sub125 ISO-M-L,125,ISO-M-L
Sub126 ISO-P-S,126,ISO-P-S
Sub126 ISO-M-S,126,ISO-M-S
Sub126 ISO-M-M,126,ISO-M-M
Sub126 ISO-M-L,126,ISO-M-L
Sub127 ISO-P-S,127,ISO-P-S
Sub127 ISO-M-S,127,ISO-M-S
Sub127 ISO-M-M,127,ISO-M-M
Sub127 ISO-M-L,127,ISO-M-L
Sub128 ISO-P-S,128,ISO-P-S
Sub128 ISO-M-S,128,ISO-M-S
Sub128 ISO-M-M,128,ISO-M-M
Sub128 ISO-M-L,128,ISO-M-L
Sub129 ISO-P-S,129,ISO-P-S
Sub129 ISO-M-S,129,ISO-M-S
Sub129 ISO-M-M,129,ISO-M-M
Sub129 ISO-M-L,129,ISO-M-L
Sub130 ISO-P-S,130,ISO-P-S
Sub130 ISO-M-S,130,ISO-M-S
Sub130 ISO-M-M,130,ISO-M-M
Sub130 ISO-M-L,130,ISO-M-L
Sub131 ISO-P-S,131,ISO-P-S
Sub131 ISO-M-S,131,ISO-M-S
Sub131 ISO-M-M,131,ISO-M-M
Sub131 ISO-M-L,131,ISO-M-L
Sub132 ISO-P-S,132,ISO-P-S
Sub132 ISO-M-S,132,ISO-M-S
Sub132 ISO-M-M,132,ISO-M-M
Sub132 ISO-M-L,132,ISO-M-L
Sub133 ISO-P-S,133,ISO-P-S
Sub133 ISO-M-S,133,ISO-M-S
Sub133 ISO-M-M,133,ISO-M-M
Sub133 ISO-M-L,133,ISO-M-L
Sub134 ISO-P-S,134,ISO-P-S
Sub134 ISO-M-S,134,ISO-M-S
Sub134 ISO-M-M,134,ISO-M-M
Sub134 ISO-M-L,134,ISO-M-L
Sub135 ISO-P-S,135,ISO-P-S
Sub135 ISO-M-S,135,ISO-M-S
Sub135 ISO-M-M,135,ISO-M-M
Sub135 ISO-M-L,135,ISO-M-L
Sub136 ISO-P-S,136,ISO-P-S
Sub136 ISO-M-S,136,ISO-M-S
Sub136 ISO-M-M,136,ISO-M-M
