AFMO_ID,River,Zone,HYDSB,SEDSB,SEDSB_R,Watershed,subwatersh,budget_rat,gag_loc_LES,zone_LES,TOPOWAT_LES,HYDSB_LES30SB,AFMO Leng(m),Hybrid DA [m2],NEAR_FID,DISt to NHD blueline (m),AREASYMBOL,MUSYM,MUKEY,WEI,FrmlndCls,DrainClass,FloodFCls,GravelSrc,HydrcRatng,hydrcRat_1,KfactRF,KfactWS,NirrCpCls,NirrCpScls,OrgMatter,PondFCls,Slope,SandSrc,SurfText,Tfactor,WEG,compname,Elev,ElevMin,ElevMax
5352,COB,2,40,604,563,Le Sueur,Little Cobb,Cobb Little Cobb,AB,2,LC,20,547.5199966,377932.7763,135,858.8364898,MN013,110,396132,86,Prime farmland if drained,Poorly drained,None,Poor,All Hydric,0.5,0.28,0.28,2,w,6,None,1.625,Poor,silty clay loam,5,4,Marna,317.4595951,310,325
2628,LES,2,14,286,301,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,18,734.8036324,374794.9342,892,396.932881,MN161,L83A,455432,48,Prime farmland if drained,Poorly drained,None,Poor,Partially Hydric,0.5,0.24,0.24,2,w,5.82,None,1.5,Poor,clay loam,5,6,Poorly drained soil,334.4460044,317,349
3556,COB,2,33,438,440,Le Sueur,Little Cobb,Cobb Little Cobb,AB,2,LC,17,455.8322123,372798.1421,671,0,MN161,L83A,455432,48,Prime farmland if drained,Poorly drained,None,Poor,Partially Hydric,0.5,0.24,0.24,2,w,5.82,None,1,Poor,clay loam,5,6,Poorly drained soil,332.6700664,320,354
4022,LES,1,30,489,505,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,26,409.2220519,372756.741,1513,0,MN147,Gc,428234,48,Prime farmland if drained,Very poorly drained,None,Poor,All Hydric,1,0.28,0.28,3,w,7.5,Frequent,1,Poor,clay loam,5,6,Glencoe,358.8066806,348,370
1109,LES,3,6,99,91,Blue Earth,Above Red Jacket,LS BL LG,BL,3,LO,2,520.4973211,372607.5701,811,225.6738674,MN013,961,396231,86,Not prime farmland,Well drained,None,Poor,Not Hydric,0.5,0.28,0.28,7,e,2.42,None,28.55,Poor,loam,5,4L,Lester,298.7895997,238,308
3245,COB,2,33,391,431,Le Sueur,Little Cobb,Cobb Little Cobb,AB,2,LC,17,549.9344068,370030.8103,1484,140.3716955,MN161,L127A,455487,48,Not prime farmland,Poorly drained,Frequent,Poor,Partially Hydric,0.5,0.24,0.24,5,w,5.65,None,2.95,Poor,silty clay loam,5,6,Havelock,322.3768094,315,330
3034,COB,2,33,393,398,Le Sueur,Little Cobb,Cobb Little Cobb,AB,2,LC,17,512.6458727,364606.6765,126,1021.987154,MN161,L82A,455431,86,Prime farmland if drained,Poorly drained,None,Poor,Partially Hydric,0.8333333,0.28,0.28,2,w,5.85,None,0.9,Poor,silty clay loam,5,4,Marna,321.1303541,308,331
9974,MAP,2,73,1103,1065,Blue Earth,Upper Maple,Map AB UG,AB,2,UM,29,603.5300701,364124.7799,1024,0,MN043,140,397084,86,Prime farmland if drained,Poorly drained,None,Poor,All Hydric,1,0.28,0.28,2,w,6,None,0.75,Poor,silt loam,5,4L,Spicer,336.1237651,323,351
8820,COB,1,66,974,955,Le Sueur,Upper Cobb,Cobb Upper Cobb,AB,1,UL,27,608.0323399,361992.8298,853,2.214063564,MN047,113,397803,48,Prime farmland if drained,Poorly drained,None,Poor,All Hydric,1,0.24,0.24,2,w,6.5,None,1,Poor,clay loam,5,6,Webster,380.0670483,365,400
5933,MAP,2,50,643,615,Le Sueur,Upper Maple,Map AB UG,AB,2,LO,25,426.9650368,361693.8,84,0,MN013,211,396153,86,Prime farmland if drained,Very poorly drained,None,Poor,All Hydric,1,0.28,0.28,3,w,8,Frequent,0.5,Poor,silty clay,5,4,Lura,308.6810419,296,323
5234,LES,1,45,599,589,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,26,505.3779219,354624.345,1052,710.3858892,MN161,L83A,455432,48,Prime farmland if drained,Poorly drained,None,Poor,Partially Hydric,0.5,0.24,0.24,2,w,5.82,None,1,Poor,clay loam,5,6,Poorly drained soil,370.4148255,353,387
5800,MAP,2,53,766,615,Le Sueur,Upper Maple,Map AB UG,AB,2,UM,29,428.0584388,350149.326,1686,366.39005,MN013,310,396170,86,Prime farmland if drained,Poorly drained,None,Poor,All Hydric,0.5,0.28,0.28,2,w,6,None,1.25,Poor,clay,5,4,Beauford,310.130657,296,326
7341,LES,1,43,885,778,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,LC,24,417.393449,349709.3315,1530,565.0758319,MN047,86,397885,86,Prime farmland if drained,Poorly drained,None,Poor,All Hydric,1,0.24,0.24,2,w,6,None,1,Poor,clay loam,5,4L,Canisteo,368.4344339,356,386
7349,MAP,2,53,835,790,Le Sueur,Upper Maple,Map AB UG,AB,2,UM,29,598.6532374,349657.5938,768,0,MN043,229,397094,86,Prime farmland if drained,Poorly drained,None,Poor,All Hydric,0.75,0.28,0.28,2,w,7,None,1.625,Poor,silty clay loam,5,4,Waldorf,316.4033641,308,330
5190,COB,2,37,628,546,Le Sueur,Little Cobb,Cobb Little Cobb,AB,2,LC,20,481.0290981,349556.1618,860,115.181439,MN161,L5A,432287,48,Prime farmland if drained,Poorly drained,None,Poor,Partially Hydric,0.5,0.24,0.24,2,w,4.87,None,1.7,Poor,loam,5,6,Delft,330.1530158,315,338
6583,MAP,2,50,750,727,Le Sueur,Upper Maple,Map AB UG,AB,2,UM,25,485.5184777,347477.1872,1720,84.19316083,MN013,211,396153,86,Prime farmland if drained,Very poorly drained,None,Poor,All Hydric,1,0.28,0.28,3,w,8,Frequent,0.5,Poor,silty clay,5,4,Lura,312.1876706,306,315
10918,COB,1,60,1156,1121,Blue Earth,Upper Cobb,Cobb Upper Cobb,AB,1,MC,27,459.7470546,344706.715,205,0,MN047,114,397804,48,Prime farmland if drained,Very poorly drained,None,Poor,All Hydric,1,0.28,0.28,3,w,7.5,Frequent,1,Poor,clay loam,5,6,Glencoe,387.6614139,370,406
4881,LES,1,30,518,526,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,26,751.1464938,341553.6118,461,789.0065673,MN161,L5A,432287,48,Prime farmland if drained,Poorly drained,None,Poor,Partially Hydric,0.75,0.24,0.24,2,w,4.87,None,1.325,Poor,loam,5,6,Delft,361.6656471,346,391
9102,LES,1,45,989,887,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,26,485.0757061,337780.7488,236,207.1644465,MN047,114,397804,48,Prime farmland if drained,Very poorly drained,None,Poor,All Hydric,1,0.28,0.28,3,w,7.5,Frequent,1,Poor,clay loam,5,6,Glencoe,393.2865831,382,414
7414,MAP,2,53,855,835,Le Sueur,Upper Maple,Map AB UG,AB,2,UM,29,670.7644746,334053.0993,1507,158.4092313,MN043,134,397082,86,Prime farmland if drained,Very poorly drained,None,Poor,All Hydric,1,0.32,0.32,3,w,8.5,Frequent,0.5,Poor,silty clay loam,5,4,Okoboji,317.7334031,310,326
