BFMO_ID,River,Zone,HYDSB,SEDSB,SEDSB_R,Watershed,subwatersh,budget_rat,gag_loc_LES,zone_LES,TOPOWAT_LES,HYDSB_LES30SB,BFMO L [m],Hybrid DA [m2],FTYPE,bufferwidth [ft],A [m2],DA=BufferDL*L*2 (both sides of the stream)
1582,LES,1,45,972,823,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,26,11395.61831,508317.3913,StreamRiver,50,347338.4461,2278540.206
1601,MAP,1,68,908,907,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,28,3528.413248,246204.9774,StreamRiver,50,107546.0358,705501.9949
1602,LES,1,30,490,505,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,26,2503.912599,114999.3631,StreamRiver,50,76319.25603,500654.3195
1604,MAP,1,69,944,919,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,28,833.8921403,83389.21403,StreamRiver,50,25417.03243,166735.7328
1605,MAP,1,68,951,910,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,28,8187.564769,157688.9503,StreamRiver,50,249556.9741,1637093.75
1615,MAP,1,70,1082,1059,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,28,3853.386012,17317.85714,StreamRiver,50,117451.2056,770479.9091
1616,LES,1,45,759,686,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,26,174.242472,17424.2472,ArtificialPath,16.5,1752.600481,34839.5732
1619,COB,1,60,1121,983,Le Sueur,Upper Cobb,Cobb Upper Cobb,AB,1,MC,27,5630.013916,148117.7419,StreamRiver,50,171602.8242,1125714.526
1637,COB,1,60,843,822,Le Sueur,Upper Cobb,Cobb Upper Cobb,AB,1,MC,27,2120.357451,10977.27273,StreamRiver,50,64628.49512,423962.928
1650,LES,1,45,850,823,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,26,280.9614238,1227.272727,StreamRiver,50,8563.704198,56177.89954
1651,MAP,1,69,1011,1009,Blue Earth,Upper Maple,Map AB UG,AB,1,MC,28,601.5388832,25445.45455,ArtificialPath,16.5,6050.518703,120276.9779
1665,MAP,1,69,1045,986,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,28,2384.775588,96049.66887,StreamRiver,50,72687.95993,476833.0172
1669,LES,1,30,511,374,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,LC,18,1652.465172,165247,StreamRiver,50,50367.13845,330408.4282
1687,LES,1,30,505,518,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,26,2980.86481,238686.2069,StreamRiver,50,90856.7594,596020.3417
1725,LES,1,45,647,660,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,26,2281.867566,64278.94737,StreamRiver,50,69551.3234,456256.6815
11,LES,2,14,358,341,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,18,795.8041416,10216.66667,StreamRiver,50,24256.11024,159120.0832
17,COB,2,54,688,626,Le Sueur,Upper Cobb,Cobb Upper Cobb,AB,1,MC,27,457.8210649,14086.04651,ArtificialPath,16.5,4604.947399,91540.77253
31,COB,2,33,439,391,Le Sueur,Little Cobb,Cobb Little Cobb,AB,2,LC,17,590.7163542,59071.63542,StreamRiver,50,18005.03448,118113.0262
33,LES,2,3,35,57,Le Sueur,Upper Le Sueur,LS AB UG,AB,2,LO,9,45.22478738,4522.478738,ArtificialPath,16.5,454.8890014,9042.641967
39,COB,2,40,624,563,Le Sueur,Little Cobb,Cobb Little Cobb,AB,2,LC,20,2753.219641,275322,CanalDitch,16.5,27692.98444,550502.9634
40,MAP,2,62,963,889,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,28,10850.474,171193.1276,StreamRiver,50,330722.4474,2169539.255
43,COB,2,54,715,708,Le Sueur,Upper Cobb,Cobb Upper Cobb,AB,1,LC,27,496.5788293,49657.88293,ArtificialPath,16.5,4994.788497,99290.34103
44,MAP,2,53,835,790,Le Sueur,Upper Maple,Map AB UG,AB,2,UM,29,805.9429045,80594.29045,StreamRiver,50,24565.13973,161147.3166
71,LES,2,14,401,341,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,LC,18,2518.362607,173886.2069,StreamRiver,50,76759.69225,503543.5811
82,COB,2,33,471,458,Le Sueur,Little Cobb,Cobb Little Cobb,AB,2,LC,17,1020.993576,102099,ArtificialPath,16.5,10269.56178,204146.4403
84,MAP,2,50,643,615,Le Sueur,Upper Maple,Map AB UG,AB,2,LO,25,1459.478281,5876.470588,StreamRiver,50,44484.898,291820.9309
93,COB,2,33,438,440,Le Sueur,Little Cobb,Cobb Little Cobb,AB,2,LC,17,554.6095192,55460.95192,ArtificialPath,16.5,5578.484387,110893.5078
111,MAP,2,73,1085,1065,Le Sueur,Upper Maple,Map AB UG,AB,2,UM,29,2047.874498,22420,CanalDitch,16.5,20598.34085,409470.0485
113,LES,2,3,26,31,Le Sueur,Upper Le Sueur,LS AB UG,AB,2,UL,9,1009.07657,100908,ArtificialPath,16.5,10149.69577,201763.6493
126,COB,2,33,393,398,Le Sueur,Little Cobb,Cobb Little Cobb,AB,2,LC,17,2852.065773,97495.45455,StreamRiver,50,86930.96475,570267.1287
128,LES,2,3,14,7,Le Sueur,Upper Le Sueur,LS AB UG,AB,2,UL,9,6972.51728,697252,StreamRiver,50,212522.3267,1394146.463
