ICMO_ID,River,Zone,HYDSB,SEDSB,SEDSB_R,Watershed,subwatersh,budget_rat,gag_loc_LES,zone_LES,TOPOWAT_LES,HYDSB_LES30SB,L[m],max_flowacc,mean_flowlen,MAJOR_NAME,MINOR5,DITCH_NAME,DITCH_TYPE,COUNTY,Elev,ElevMin,ElevMax
1270,COB,2,35,522,443,Le Sueur,Upper Cobb,Cobb Upper Cobb,AB,1,LO,27,577.9511111,22314,57746.99219,LeSueur River,32065,CD57,PUBLIC DITCH OPEN,BLUE EARTH,309.7091509,298,316
1079,LES,2,24,241,274,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,18,1701.019424,22141,108731.2422,LeSueur River,32004,CD38,PUBLIC DITCH OPEN,WASECA,337.6366938,322,349
1269,COB,2,35,522,443,Le Sueur,Upper Cobb,Cobb Upper Cobb,AB,1,LO,27,68.9936026,21863,58071.43359,LeSueur River,32065,CD57,PUBLIC DITCH OPEN,BLUE EARTH,309.7091509,298,316
1293,MAP,2,73,1085,1065,Le Sueur,Upper Maple,Map AB UG,AB,2,UM,29,327.9241914,21783,98816.94531,LeSueur River,32055,JD2,PUBLIC DITCH OPEN,FARIBAULT,329.373333,323,338
921,LES,3,2,50,30,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,5908.115517,21775,102712.4688,LeSueur River,32020,CD2,PUBLIC DITCH OPEN,BLUE EARTH,315.5984625,308,327
1268,COB,2,35,522,443,Le Sueur,Upper Cobb,Cobb Upper Cobb,AB,1,LO,27,119.3674351,21382,58167.11328,LeSueur River,32065,CD57,PUBLIC DITCH OPEN,BLUE EARTH,309.7091509,298,316
1290,MAP,2,73,1085,1065,Le Sueur,Upper Maple,Map AB UG,AB,2,UM,29,83.1796506,21378,99003.59375,LeSueur River,32055,JD2,PUBLIC DITCH OPEN,FARIBAULT,329.373333,323,338
1267,COB,2,35,522,443,Le Sueur,Upper Cobb,Cobb Upper Cobb,AB,1,LO,27,624.6427932,21280,58492.51563,LeSueur River,32065,CD57,PUBLIC DITCH OPEN,BLUE EARTH,309.7091509,298,316
1068,LES,2,14,341,264,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,LC,18,491.4481062,21150,99531.53906,LeSueur River,32010,CD50,PUBLIC DITCH OPEN,WASECA,330.0376619,312,342
1296,MAP,2,73,1085,1065,Le Sueur,Upper Maple,Map AB UG,AB,2,UM,29,530.7915379,20636,99330.29688,LeSueur River,32055,JD2,PUBLIC DITCH OPEN,FARIBAULT,329.373333,323,338
1266,COB,2,35,522,443,Le Sueur,Upper Cobb,Cobb Upper Cobb,AB,1,LO,27,20.43759654,20330,58658.82813,LeSueur River,32065,CD57,PUBLIC DITCH OPEN,BLUE EARTH,309.7091509,298,316
1392,MAP,2,53,1048,967,Le Sueur,Upper Maple,Map AB UG,AB,2,UM,29,1794.186006,20109,93444.24219,LeSueur River,32054,JD1,PUBLIC DITCH OPEN,FARIBAULT,324.6560819,316,333
1311,MAP,1,72,1076,1051,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,30,1151.613081,19870,115724.375,LeSueur River,32046,CD20,PUBLIC DITCH OPEN,FARIBAULT,326.1508191,320,339
1258,MAP,2,50,739,750,Le Sueur,Upper Maple,Map AB UG,AB,2,UM,25,848.4629048,19800,93113.78125,LeSueur River,32058,CD95,PUBLIC DITCH OPEN,FARIBAULT-BLUE EARTH,314.7321909,309,320
1114,LES,2,1,83,45,Le Sueur,Upper Le Sueur,LS AB UG,AB,2,UL,9,2333.888312,19390,101905.6797,LeSueur River,32003,CD3,PUBLIC DITCH OPEN,WASECA,339.4449838,324,360
962,LES,1,43,885,778,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,LC,24,620.6158027,19327,144025.375,LeSueur River,32028,JD8,PUBLIC DITCH OPEN,FREEBORN-WASECA,368.4344339,356,386
1069,LES,2,14,341,264,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,LC,18,1194.670086,18808,100372.8594,LeSueur River,32010,CD50,PUBLIC DITCH OPEN,WASECA,330.0376619,312,342
1314,MAP,1,72,1076,1051,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,30,64.8802357,18763,116591.3984,LeSueur River,32046,CD20,PUBLIC DITCH OPEN,FARIBAULT,326.1508191,320,339
963,LES,1,43,885,778,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,LC,24,265.0321851,18687,144573.125,LeSueur River,32028,JD8,PUBLIC DITCH OPEN,FREEBORN-WASECA,368.4344339,356,386
1433,COB,2,37,811,669,Le Sueur,Little Cobb,Cobb Little Cobb,AB,2,LC,20,723.7215323,18232,102528.5,LeSueur River,32029,CD8A,PUBLIC DITCH OPEN,WASECA,353.9982973,335,369
1254,MAP,2,50,739,750,Le Sueur,Upper Maple,Map AB UG,AB,2,UM,25,1724.10357,18228,94577.09375,LeSueur River,32058,CD96,PUBLIC DITCH OPEN,BLUE EARTH,314.7321909,309,320
964,LES,1,43,885,778,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,LC,24,677.9556067,18033,145061.7344,LeSueur River,32028,JD8,PUBLIC DITCH OPEN,FREEBORN-WASECA,368.4344339,356,386
965,LES,1,43,885,778,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,LC,24,910.5095751,17489,145956.5781,LeSueur River,32028,JD8,PUBLIC DITCH OPEN,FREEBORN-WASECA,368.4344339,356,386
1412,COB,2,54,709,708,Le Sueur,Upper Cobb,Cobb Upper Cobb,AB,1,LC,27,842.8615544,17034,86565.32813,LeSueur River,32033,JD51,PUBLIC DITCH OPEN,WASECA-BLUE EARTH,321.0033414,311,329
1359,MAP,2,64,819,815,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,30,402.526587,16931,93719.61719,LeSueur River,32052,JD9,PUBLIC DITCH OPEN,BLUE EARTH-FARIBAULT,314.1468456,310,320
1432,COB,2,37,811,669,Le Sueur,Little Cobb,Cobb Little Cobb,AB,2,LC,20,1281.897995,16509,103715.0625,LeSueur River,32029,CD8A,PUBLIC DITCH OPEN,WASECA,353.9982973,335,369
1420,COB,2,54,619,709,Le Sueur,Upper Cobb,Cobb Upper Cobb,AB,1,LC,27,330.7544414,16490,87136.75,LeSueur River,32033,JD51,PUBLIC DITCH OPEN,WASECA-BLUE EARTH,322.9641544,318,329
1038,LES,1,29,388,365,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,18,163.2201813,16438,120129.875,LeSueur River,32008,JD5,PUBLIC DITCH OPEN,STEELE-WASECA,352.2666582,335,376
1358,MAP,2,64,914,819,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,30,169.1491985,16333,93996.15625,LeSueur River,32052,JD9,PUBLIC DITCH OPEN,BLUE EARTH-FARIBAULT,317.8362277,310,326
