GeneID,MOsID,MOs,SedRed,Duck,Cost,sedbcr,duckbcr,SB574,HydroSB,Zone,watershed,coords_x1,coords_x2,ld0.0,ld0.1,ld0.2,ld0.3,ld0.4,ld0.5,ld0.6,ld0.7,ld0.8,ld0.9,ld1.0
63,129,TLMO,0.1124,0,81.124,1.385533258,0,5,9,2,LES,188462.5417,2357598.154,0,0.138553326,0.277106652,0.415659977,0.554213303,0.692766629,0.831319955,0.96987328,1.108426606,1.246979932,1.385533258
64,130,TLMO,0.4377,0,143.5801,3.048472595,0,14,9,2,LES,188398.0495,2357489.715,0,0.304847259,0.609694519,0.914541778,1.219389038,1.524236297,1.829083557,2.133930816,2.438778076,2.743625335,3.048472595
65,132,TLMO,1.2149,0,877.1838,1.385000498,0,5,9,2,LES,188994.8601,2357556.058,0,0.13850005,0.2770001,0.415500149,0.554000199,0.692500249,0.831000299,0.969500349,1.108000399,1.246500448,1.385000498
66,133,TLMO,0.1838,0,60.2825,3.04897773,0,14,9,2,LES,188696.5827,2357395.884,0,0.304897773,0.609795546,0.914693319,1.219591092,1.524488865,1.829386638,2.134284411,2.439182184,2.744079957,3.04897773
67,136,TLMO,0.0102,0,3.3359,3.057645613,0,14,9,2,LES,189530.0908,2357302.162,0,0.305764561,0.611529123,0.917293684,1.223058245,1.528822806,1.834587368,2.140351929,2.44611649,2.751881052,3.057645613
68,139,TLMO,0.0008,0,13.3437,0.059953386,0,9,1,3,LES,175790.0908,2357287.162,0,0.005995339,0.011990677,0.017986016,0.023981354,0.029976693,0.035972032,0.04196737,0.047962709,0.053958048,0.059953386
69,145,TLMO,0.0115,0,200.7626,0.057281585,0,9,1,3,LES,175935.2761,2357287.585,0,0.005728159,0.011456317,0.017184476,0.022912634,0.028640793,0.034368951,0.04009711,0.045825268,0.051553427,0.057281585
70,146,TLMO,0.0075,0,10.3647,0.723609945,0,43,1,3,LES,175873.8572,2357153.848,0,0.072360995,0.144721989,0.217082984,0.289443978,0.361804973,0.434165967,0.506526962,0.578887956,0.651248951,0.723609945
71,148,TLMO,0.0498,0,63.042,0.789949557,0,10,1,3,LES,166571.4219,2357377.122,0,0.078994956,0.157989911,0.236984867,0.315979823,0.394974779,0.473969734,0.55296469,0.631959646,0.710954602,0.789949557
72,149,TLMO,0.0189,0,137.7704,0.137184765,0,13,1,3,LES,166503.0125,2357263.477,0,0.013718477,0.027436953,0.04115543,0.054873906,0.068592383,0.082310859,0.096029336,0.109747812,0.123466289,0.137184765
73,150,TLMO,0.4905,0,160.8728,3.048992745,0,14,9,2,LES,186462.9542,2357107.007,0,0.304899274,0.609798549,0.914697823,1.219597098,1.524496372,1.829395647,2.134294921,2.439194196,2.74409347,3.048992745
74,151,TLMO,0.004,0,69.264,0.057750058,0,9,1,3,LES,176434.0256,2357078.077,0,0.005775006,0.011550012,0.017325017,0.023100023,0.028875029,0.034650035,0.04042504,0.046200046,0.051975052,0.057750058
75,152,TLMO,0.014,0,19.3548,0.72333478,0,43,1,3,LES,176377.3307,2357035.518,0,0.072333478,0.144666956,0.217000434,0.289333912,0.36166739,0.434000868,0.506334346,0.578667824,0.651001302,0.72333478
76,153,TLMO,0.0073,0,15.4878,0.471338731,0,4,1,3,LES,176997.5022,2357381.846,0,0.047133873,0.094267746,0.141401619,0.188535492,0.235669366,0.282803239,0.329937112,0.377070985,0.424204858,0.471338731
77,154,TLMO,0.0285,0,498.6107,0.057158822,0,9,1,3,LES,176835.6564,2357191.274,0,0.005715882,0.011431764,0.017147646,0.022863529,0.028579411,0.034295293,0.040011175,0.045727057,0.051442939,0.057158822
78,155,TLMO,0.0306,0,42.3329,0.722842045,0,43,1,3,LES,176726.0019,2357024.33,0,0.072284204,0.144568409,0.216852613,0.289136818,0.361421022,0.433705227,0.505989431,0.578273636,0.65055784,0.722842045
79,156,TLMO,2.0673,0,862.0621,2.398087098,0,22,1,3,LES,172066.093,2357266.306,0,0.23980871,0.47961742,0.71942613,0.959234839,1.199043549,1.438852259,1.678660969,1.918469679,2.158278389,2.398087098
80,160,TLMO,2.9337,0,2008.1035,1.460930674,0,2,1,3,LES,170033.8551,2358076.698,0,0.146093067,0.292186135,0.438279202,0.58437227,0.730465337,0.876558404,1.022651472,1.168744539,1.314837607,1.460930674
81,161,TLMO,6.8188,0,3430.4131,1.987748939,0,11,1,3,LES,170456.5407,2357338.676,0,0.198774894,0.397549788,0.596324682,0.795099576,0.99387447,1.192649363,1.391424257,1.590199151,1.788974045,1.987748939
82,163,TLMO,0.2294,0,87.9278,2.608958714,0,7,9,2,LES,185486.9862,2357093.947,0,0.260895871,0.521791743,0.782687614,1.043583486,1.304479357,1.565375228,1.8262711,2.087166971,2.348062842,2.608958714
83,164,TLMO,0.27,0,88.5417,3.049410617,0,14,9,2,LES,185684.4582,2357030.016,0,0.304941062,0.609882123,0.914823185,1.219764247,1.524705308,1.82964637,2.134587432,2.439528493,2.744469555,3.049410617
84,165,TLMO,0.5396,0,299.517,1.80156719,0,17,9,2,LES,185511.571,2356953.74,0,0.180156719,0.360313438,0.540470157,0.720626876,0.900783595,1.080940314,1.261097033,1.441253752,1.621410471,1.80156719
85,166,TLMO,0.0066,0,3.3359,1.978476573,0,11,1,3,LES,169850.0908,2356762.162,0,0.197847657,0.395695315,0.593542972,0.791390629,0.989238287,1.187085944,1.384933601,1.582781258,1.780628916,1.978476573
86,167,TLMO,0.328,0,693.1613,0.473194334,0,4,1,3,LES,177762.3301,2357241.861,0,0.047319433,0.094638867,0.1419583,0.189277734,0.236597167,0.283916601,0.331236034,0.378555468,0.425874901,0.473194334
