ID,Label,Cost,NitRed,SedRed
268,Sub045 ISO-P-L,921813.3781,885.1517,84.9389
269,Sub045 ISO-M-S,143426.7391,537.5423,50.3324
270,Sub045 ISO-M-M,424206.0639,778.2479,76.3937
271,Sub045 ISO-M-L,704843.6119,814.6705,80.2925
272,Sub046 ISO-P-S,267917.0451,4360.3536,852.5748
273,Sub046 ISO-P-M,794420.0707,5697.9405,1207.3503
274,Sub046 ISO-P-L,1320705.3,7209.6206,1559.9087
275,Sub046 ISO-M-S,201255.6102,3621.5461,717.2791
276,Sub046 ISO-M-M,594435.7661,4803.1395,1090.3247
277,Sub046 ISO-M-L,987398.1257,5948.6439,1430.8513
278,Sub047 ISO-P-S,210811.277,1696.4493,361.6796
279,Sub047 ISO-P-M,625178.7834,2854.4795,659.7922
280,Sub047 ISO-P-L,1039376.95,-68424.4847,-17661.6475
281,Sub047 ISO-M-S,158980.9771,1355.577,313.5813
282,Sub047 ISO-M-M,469687.8837,2141.9494,549.4009
283,Sub047 ISO-M-L,780225.4503,2900.8093,772.1385
284,Sub048 ISO-P-S,164389.7308,1301.089,285.485
285,Sub048 ISO-P-M,487440.0903,2130.021,511.1255
286,Sub048 ISO-P-L,810356.7268,2995.5626,740.1991
287,Sub048 ISO-M-S,123460.8344,1080.4079,235.8464
288,Sub048 ISO-M-M,364653.4011,1882.1398,462.7792
289,Sub048 ISO-M-L,605712.2448,2616.8163,675.2403
290,Sub049 ISO-P-S,209824.551,3163.9606,675.5255
291,Sub049 ISO-P-M,622161.1141,4730.058,1092.8127
292,Sub049 ISO-P-L,1034326.995,5984.2186,1439.9421
293,Sub049 ISO-M-S,157583.5304,2599.7256,594.6901
294,Sub049 ISO-M-M,465438.0525,3677.0176,932.5243
295,Sub049 ISO-M-L,773121.8925,4594.1335,1235.8325
296,Sub050 ISO-P-S,246328.3255,3887.068,657.3527
297,Sub050 ISO-P-M,730400.2545,5213.8279,904.9246
298,Sub050 ISO-P-L,1214271.808,5879.6373,1029.9148
299,Sub050 ISO-M-S,184998.7859,2475.3811,463.7588
300,Sub050 ISO-M-M,546411.6356,3175.3959,619.8159
