"MOs","MOsID","Subbasin","SED_BCR","Duck_BCR","Zone","coords_x1","coords_x2","coords.x1","coords.x2","coords.x3","SED_BCR_DIST"
"WCMO",12185,"23",1.2021165,0.000705987,2,149117.216831751,2317192.18157947,149117.216831751,2317192.18157947,0,0.326038999999945
"WCMO",6110,"16",1.201910403,0.000615312,3,167203.892900867,2334403.31366302,167203.892900867,2334403.31366302,0,0.206096999999961
"WCMO",2510,"18",1.201845819,0.000377592,1,190668.637533872,2343481.12727924,190668.637533872,2343481.12727924,0,0.0645839999999787
"WCMO",10484,"24",1.201550496,0.000620269,1,200555.142578137,2322333.89672563,200555.142578137,2322333.89672563,0,0.295323000000014
"WCMO",18518,"29",1.201071598,0.000375417,2,160156.11816826,2301854.06127486,160156.11816826,2301854.06127486,0,0.478898000000116
"WCMO",15482,"27",1.200832901,0.000568902,1,193132.327129667,2309798.11204468,193132.327129667,2309798.11204468,0,0.238696999999899
"WCMO",1469,"5",1.200594836,0.000617007,3,171253.607849931,2347656.56137619,171253.607849931,2347656.56137619,0,0.23806500000001
"WCMO",3815,"12",1.199989655,0.000494105,3,166413.260373097,2340141.38215683,166413.260373097,2340141.38215684,0,0.605181000000066
"WCMO",306,"9",1.199787027,0.000123452,2,180746.567758118,2353789.17258475,180746.567758118,2353789.17258475,0,0.202628000000038
"WCMO",114,"1",1.199562163,0.000212719,3,165749.707746067,2358142.08246604,165749.707746067,2358142.08246604,0,0.224863999999991
"WCMO",11098,"26",1.199176082,0.000570515,1,204213.083705687,2322298.83389323,204213.083705687,2322298.83389323,0,0.386081000000038
"WCMO",5967,"19",1.19916981,0.000650411,3,155218.412088088,2333692.78770287,155218.412088088,2333692.78770287,0,0.00627200000002937
"WCMO",6595,"26",1.198707969,0.000564052,1,201115.676327658,2332368.8157935,201115.676327658,2332368.8157935,0,0.461840999999907
"WCMO",11371,"27",1.198353746,0.00058493,1,182308.344913526,2320301.55390034,182308.344913526,2320301.55390034,0,0.354222999999987
"WCMO",4154,"18",1.197712446,0.000499132,1,194323.814800276,2337725.02490085,194323.814800276,2337725.02490085,0,0.641300000000067
"WCMO",7541,"17",1.196163913,0.000608232,2,194059.431182236,2329732.7995345,194059.431182236,2329732.7995345,0,1.54853300000002
"WCMO",14461,"28",1.195901395,0.000198226,1,187016.348122762,2312806.81488483,187016.348122762,2312806.81488483,0,0.262517999999989
"WCMO",223,"1",1.195841007,0.000492038,3,170847.043296049,2354925.98356715,170847.043296049,2354925.98356715,0,0.0603879999998558
"WCMO",7779,"20",1.194321327,0.000552463,2,173834.773231724,2329667.04073761,173834.773231724,2329667.04073761,0,1.51968000000013
"WCMO",11824,"30",1.19422876,0.000637569,1,159379.348270351,2319770.80146449,159379.348270351,2319770.80146449,0,0.0925670000000434
"WCMO",8412,"20",1.193898896,0.000623375,2,186052.602929973,2329307.55529376,186052.602929973,2329307.55529376,0,0.329863999999791
"WCMO",2478,"18",1.193039502,0.000199431,1,192794.582433137,2342683.16677472,192794.582433137,2342683.16677472,0,0.859394000000124
"WCMO",13161,"27",1.19292833,0.000551737,1,185961.977104091,2315268.86106149,185961.977104091,2315268.86106149,0,0.111171999999993
"WCMO",17129,"29",1.191938286,0.000622952,2,159746.057164966,2305832.72015713,159746.057164966,2305832.72015712,0,0.990043999999912
"WCMO",9763,"27",1.191844161,0.000582252,1,175920.858326168,2324481.68916166,175920.858326168,2324481.68916166,0,0.094125000000167
