Type,ID,SedRed,Cost,Duck,Site_ID,River_x,Zone_x,HYDSB_LES30SB,area_m2
WCMO,15967,262.281,49241.428,25.29,15967,MAP,2,29,230506.0781
WCMO,15968,9.974,6568.406,4.747,15968,MAP,2,29,8171.688477
WCMO,15969,4.609,5583.381,2.909,15969,MAP,2,29,3039.526123
WCMO,15970,94.998,43776.4,15.176,15970,MAP,2,29,82505.39844
WCMO,15971,47.79,23037.144,10.959,15971,MAP,2,29,43362.05078
WCMO,16045,5.571,10784.858,3.501,16045,MAP,2,29,4089.254639
WCMO,16046,38.205,11400.352,10.029,16046,MAP,2,29,33347.02344
WCMO,16047,5.98,5827.894,3.611,16047,MAP,2,29,4313.481445
WCMO,16048,77.387,17982.143,14.266,16048,MAP,2,29,67639.38281
WCMO,16049,22.455,20757.958,7.584,16049,MAP,2,29,19151.19336
WCMO,16050,5.455,5737.223,3.407,16050,MAP,2,29,3841.06958
WCMO,16051,36.423,11091.879,9.781,16051,MAP,2,29,31739.82422
WCMO,16052,10.905,6678.956,5.144,16052,MAP,2,29,8747.670898
WCMO,16053,5.006,5683.567,3.277,16053,MAP,2,29,3561.513916
WCMO,16054,7.243,11698.319,4.124,16054,MAP,2,29,5648.676758
WCMO,16055,4.567,5583.794,3.052,16055,MAP,2,29,3041.673828
WCMO,16056,606.421,114346.462,40.674,16056,MAP,2,29,543664.5
WCMO,16057,5.742,11232.604,3.517,16057,MAP,2,29,4099.687988
WCMO,16058,17.812,21127.651,6.717,16058,MAP,2,29,14967.97559
WCMO,16059,36.204,6053.937,7.573,16059,MAP,2,29,31542.14063
WCMO,16060,24.609,9048.144,7.988,16060,MAP,2,29,21091.58398
WCMO,16061,20.034,8256.979,7.205,16061,MAP,2,29,16969.4668
WCMO,16062,14.804,7352.975,6.119,16062,MAP,2,29,12259.43555
WCMO,16065,10.474,6604.464,4.818,16065,MAP,2,29,8359.553711
WCMO,16067,8.899,6332.296,4.618,16067,MAP,2,29,6941.508789
WCMO,16068,24.253,8986.608,7.981,16068,MAP,2,29,20770.9707
WCMO,16070,111.538,23908.792,12.302,16070,MAP,2,29,98518.32813
WCMO,16395,53.821,14400.163,11.551,16395,MAP,2,29,48976.59766
WCMO,16418,7.214,6075.768,3.925,16418,MAP,2,29,5604.952148
WCMO,16419,94.369,21437.949,15.299,16419,MAP,2,29,85644.77344
WCMO,16421,22.025,3747.451,7.361,16421,MAP,2,29,19524.91602
WCMO,16422,178.822,36562.64,21.294,16422,MAP,2,29,164447.2344
WCMO,16423,19.987,3380.959,6.992,16423,MAP,2,29,17615.42383
WCMO,16424,13.208,7161.73,5.584,16424,MAP,2,29,11263.01367
WCMO,16433,4.673,5594.257,2.94,16433,MAP,2,29,3096.190186
WCMO,16434,18.662,7980.743,6.592,16434,MAP,2,29,15530.22559
WCMO,16435,136.918,27827.014,18.166,16435,MAP,2,29,118932.9922
WCMO,16436,14.517,7356.419,5.877,16436,MAP,2,29,12277.37988
WCMO,16441,17.77,12669.136,6.508,16441,MAP,2,29,14802.12988
WCMO,16442,5.438,727.928,3.275,16442,MAP,2,29,3792.63794
WCMO,16443,7.396,1063.358,3.979,16443,MAP,2,29,5540.291992
WCMO,16444,5.537,5770.685,3.407,16444,MAP,2,29,4015.412842
WCMO,16445,8.037,1173.19,4.18,16445,MAP,2,29,6112.540039
WCMO,16446,17.99,14415.125,6.693,16446,MAP,2,29,15513.65332
WCMO,16447,21.557,8609.953,7.397,16447,MAP,2,29,18808.52734
WCMO,16448,41.763,24740.42,10.382,16448,MAP,2,29,37476.69531
WCMO,16449,592.169,564348.154,38.725,16449,MAP,2,29,526821.5
WCMO,16450,6.471,904.825,3.647,16450,MAP,2,29,4714.308106
WCMO,16451,213.986,111897.809,22.891,16451,MAP,2,29,187021.5781
WCMO,16452,5.253,5693.309,3.178,16452,MAP,2,29,3612.267822
WCMO,16453,5.462,732.07,3.287,16453,MAP,2,29,3814.219971
WCMO,16454,81.872,26282.2,14.124,16454,MAP,2,29,70785.42969
WCMO,16455,27.743,12355.617,8.324,16455,MAP,2,29,24465.06836
WCMO,16456,47.503,17832.732,10.969,16456,MAP,2,29,42682.16797
WCMO,16457,4.722,10978.718,3.029,16457,MAP,2,29,3255.255127
WCMO,16458,1347.437,1270662.553,58.82,16458,MAP,2,29,1214686.375
WCMO,16460,6.461,16427.306,3.79,16460,MAP,2,29,4747.274902
WCMO,16461,5.818,799.943,3.564,16461,MAP,2,29,4167.849609
WCMO,16463,50.596,22671.075,11.631,16463,MAP,2,29,44523.01172
WCMO,16464,5.048,5666.975,3.247,16464,MAP,2,29,3475.065186
WCMO,16465,53.788,24252.087,11.974,16465,MAP,2,29,47403
WCMO,16466,30.221,17861.835,8.883,16466,MAP,2,29,26148.77148
WCMO,16471,13.533,7133.219,5.792,16471,MAP,2,29,11114.46582
WCMO,16472,9.692,6469.402,4.817,16472,MAP,2,29,7655.858398
WCMO,16475,9.032,6355.296,4.617,16475,MAP,2,29,7061.344238
WCMO,16476,20.812,8391.591,7.316,16476,MAP,2,29,17670.82031
WCMO,16480,20.602,8355.199,7.289,16480,MAP,2,29,17481.21289
WCMO,16482,16.503,7646.526,3.291,16482,MAP,2,29,13788.8916
WCMO,16483,8.728,6302.719,4.535,16483,MAP,2,29,6787.409668
WCMO,17122,31.459,16413.359,8.829,17122,MAP,2,29,27879.33984
WCMO,17123,11.538,12712.041,5.17,17123,MAP,2,29,9529.439453
WCMO,17124,5.166,6381.937,3.21,17124,MAP,2,29,3663.084717
WCMO,17125,29.019,12294.495,8.468,17125,MAP,2,29,25631.04492
WCMO,17126,133.825,73419.417,18.41,17126,MAP,2,29,120207.8594
WCMO,17127,7.24,7102.023,3.957,17127,MAP,2,29,5571.80957
WCMO,17128,11.103,8444.022,5.07,17128,MAP,2,29,9129.02832
WCMO,17129,8.128,6819.145,4.248,17129,MAP,2,29,6392.022461
WCMO,17130,274.225,187302.753,26.702,17130,MAP,2,29,249216.3125
WCMO,17131,4.578,10941.988,2.997,17131,MAP,2,29,3133.088379
WCMO,17132,14.001,13358.904,5.793,17132,MAP,2,29,11802.35547
WCMO,17133,5.482,6492.22,3.348,17133,MAP,2,29,3955.410156
WCMO,17151,56.135,29446.954,12.163,17151,MAP,2,29,50763.00781
WCMO,17152,20.517,15170.086,7.259,17152,MAP,2,29,18166.39844
WCMO,17153,6.026,11271.268,3.608,17153,MAP,2,29,4466.920898
WCMO,17154,5.333,11108.736,3.363,17154,MAP,2,29,3895.823486
WCMO,17155,6.874,11520.741,3.927,17155,MAP,2,29,5343.506836
WCMO,17186,12.801,8257.071,5.676,17186,MAP,2,29,10833.14551
WCMO,17187,5.24,5712.553,3.318,17187,MAP,2,29,3712.53125
WCMO,17188,5.346,731.224,3.364,17188,MAP,2,29,3809.812256
WCMO,17189,5.503,11188.662,3.438,17189,MAP,2,29,3953.537109
