ID,Generation,Outlet.Sediment,SedRed,Duck,Cost,sedbcr,duckbcr,Type,lambdaSedBcr0,lambdaSedBcr0.1,lambdaSedBcr0.2,lambdaSedBcr0.3,lambdaSedBcr0.4,lambdaSedBcr0.5,lambdaSedBcr0.6,lambdaSedBcr0.7,lambdaSedBcr0.8,lambdaSedBcr0.9,lambdaSedBcr1
125,-1,211250.2113,0.2327,0,215.9895,1.077367187,0,TLMO Reduced 125,0,0.107736719,0.215473437,0.323210156,0.430946875,0.538683593,0.646420312,0.754157031,0.861893749,0.969630468,1.077367187
126,-1,211250.2715,0.1725,0,372.6082,0.462952775,0,TLMO Reduced 126,0,0.046295277,0.092590555,0.138885832,0.18518111,0.231476387,0.277771665,0.324066942,0.37036222,0.416657497,0.462952775
127,-1,211250.4249,0.0191,0,2.2841,8.362155773,0,TLMO Reduced 127,0,0.836215577,1.672431155,2.508646732,3.344862309,4.181077886,5.017293464,5.853509041,6.689724618,7.525940195,8.362155773
128,-1,211250.3951,0.0489,0,45.4264,1.076466548,0,TLMO Reduced 128,0,0.107646655,0.21529331,0.322939964,0.430586619,0.538233274,0.645879929,0.753526584,0.861173238,0.968819893,1.076466548
129,-1,211249.7912,0.6528,0,77.9717,8.3722684,0,TLMO Reduced 129,0,0.83722684,1.67445368,2.51168052,3.34890736,4.1861342,5.02336104,5.86058788,6.69781472,7.53504156,8.3722684
130,-1,211250.4399,0.0041,0,2.2841,1.795017731,0,TLMO Reduced 130,0,0.179501773,0.359003546,0.538505319,0.718007093,0.897508866,1.077010639,1.256512412,1.436014185,1.615515958,1.795017731
131,-1,211250.3823,0.0617,0,133.1725,0.463308866,0,TLMO Reduced 131,0,0.046330887,0.092661773,0.13899266,0.185323547,0.231654433,0.27798532,0.324316206,0.370647093,0.41697798,0.463308866
132,-1,211250.3617,0.0823,0,76.4239,1.076888251,0,TLMO Reduced 132,0,0.107688825,0.21537765,0.323066475,0.4307553,0.538444125,0.646132951,0.753821776,0.861510601,0.969199426,1.076888251
133,-1,211249.3671,1.0769,0,938.5374,1.14742364,0,TLMO Reduced 133,0,0.114742364,0.229484728,0.344227092,0.458969456,0.57371182,0.688454184,0.803196548,0.917938912,1.032681276,1.14742364
134,-1,211229.4243,21.0197,0,8619.7866,2.438540648,0,TLMO Reduced 134,0,0.243854065,0.48770813,0.731562194,0.975416259,1.219270324,1.463124389,1.706978454,1.950832518,2.194686583,2.438540648
135,-1,211250.2479,0.1961,0,1432.4415,0.136899133,0,TLMO Reduced 135,0,0.013689913,0.027379827,0.04106974,0.054759653,0.068449567,0.08213948,0.095829393,0.109519307,0.12320922,0.136899133
136,-1,211225.1121,25.3319,0,3025.6621,8.372349312,0,TLMO Reduced 136,0,0.837234931,1.674469862,2.511704793,3.348939725,4.186174656,5.023409587,5.860644518,6.697879449,7.53511438,8.372349312
137,-1,211249.3651,1.0789,0,1365.2351,0.790266819,0,TLMO Reduced 137,0,0.079026682,0.158053364,0.237080046,0.316106728,0.39513341,0.474160092,0.553186773,0.632213455,0.711240137,0.790266819
138,-1,211250.0824,0.3616,0,2640.9787,0.136918938,0,TLMO Reduced 138,0,0.013691894,0.027383788,0.041075682,0.054767575,0.068459469,0.082151363,0.095843257,0.109535151,0.123227045,0.136918938
139,-1,211244.0279,6.4161,0,866.5095,7.404535092,0,TLMO Reduced 139,0,0.740453509,1.480907018,2.221360527,2.961814037,3.702267546,4.442721055,5.183174564,5.923628073,6.664081582,7.404535092
140,-1,211248.8687,1.5753,0,572.9166,2.749614865,0,TLMO Reduced 140,0,0.274961487,0.549922973,0.82488446,1.099845946,1.374807433,1.649768919,1.924730406,2.199691892,2.474653379,2.749614865
141,-1,211216.6313,33.8127,0,4038.6095,8.372361824,0,TLMO Reduced 141,0,0.837236182,1.674472365,2.511708547,3.34894473,4.186180912,5.023417094,5.860653277,6.697889459,7.535125642,8.372361824
142,-1,211250.3166,0.1274,0,176.2485,0.722843031,0,TLMO Reduced 142,0,0.072284303,0.144568606,0.216852909,0.289137213,0.361421516,0.433705819,0.505990122,0.578274425,0.650558728,0.722843031
143,-1,211249.8098,0.6342,0,351.9956,1.801727067,0,TLMO Reduced 143,0,0.180172707,0.360345413,0.54051812,0.720690827,0.900863534,1.08103624,1.261208947,1.441381654,1.62155436,1.801727067
144,-1,211250.3512,0.0928,0,128.3456,0.723047771,0,TLMO Reduced 144,0,0.072304777,0.144609554,0.216914331,0.289219108,0.361523886,0.433828663,0.50613344,0.578438217,0.650742994,0.723047771
