Join_Count,TARGET_FID,FNODE_,TNODE_,LPOLY_,RPOLY_,LENGTH,DITCHALL_,DITCHALL_I,UNIQUE_ID,MAJOR,MAJOR_NAME,MINOR5,DITCH_NAME,DITCH_TYPE,COUNTY,TWP,RNG,SEC,PEDIGREE,PEDYEAR,ID,SedRed,Cost,Duck,max_flowac,mean_flowl,Join_Cou_1,TARGET_F_1,Subbasin,Area,Elev,ElevMin,ElevMax,SubbasinR,subwatersh,Watershed,budget_rat,Bluff_avgE,River,Subbasin_1,Zone,Subbasin_2,watershed_,Zone_1,gag_loc,Shape_Leng,Shape_Le_1,Le2,X10_,X20_,X30_,X40_,X50_,X60_,X70_,X80_,X90_,Type
2,808,22632,22647,0,0,3531.424488,16088,894,32025JC6,32,LeSueur River,32025,JC6,PUBLIC DITCH OPEN,FREEBORN-WASECA,105,22,17,MSUWRC,1993,1008,29.658,373469.268,0,16221,145369,1,1008,731,8751399.964,363.9283886,356,373,702,Upper Le Sueur,Le Sueur,LS AB UG,0.05,LES,43,1,24,UL,1,AB,19179.99931,3532.374062,3532.374062,1,1,1,1,1,1,1,1,1,ICMO
2,808,22647,19059,0,0,980.5139455,16089,894,32025JC6,32,LeSueur River,32025,JC6,PUBLIC DITCH OPEN,FREEBORN-WASECA,105,22,17,MSUWRC,1993,1009,8.229,103695.216,0,25665,143276,1,1009,731,8751399.964,363.9283886,356,373,702,Upper Le Sueur,Le Sueur,LS AB UG,0.05,LES,43,1,24,UL,1,AB,19179.99931,979.0352899,979.0352899,1,1,1,1,1,1,1,1,1,ICMO
3,637,22648,22649,0,0,816.5235084,16090,756,32026CD26,32,LeSueur River,32026,CD26,PUBLIC DITCH OPEN,WASECA,105,22,6,MSUWRC,1993,1010,6.851,86352.246,0,138561,131144,2,1010,560,2652500.008,346.6463336,338,359,530,Upper Le Sueur,Le Sueur,LS AB UG,0.05,LES,30,1,24,UL,1,AB,12359.99959,814.535681,814.535681,1,1,1,1,1,1,1,1,1,ICMO
2,678,22689,22674,0,0,1056.04934,16125,884,32022CD27,32,LeSueur River,32022,CD27,PUBLIC DITCH OPEN,WASECA,106,22,33,MSUWRC,1993,1011,10.721,111683.536,0,3497,136059,1,1011,601,8316000.136,358.0501082,342,372,519,Upper Le Sueur,Le Sueur,LS AB UG,0.05,LES,30,1,26,UL,1,AB,21179.99961,1059.959502,1059.959502,1,1,1,1,1,1,1,1,4,ICMO
2,678,22674,22690,0,0,1623.904278,16126,884,32022CD27,32,LeSueur River,32022,CD27,PUBLIC DITCH OPEN,WASECA,106,22,33,MSUWRC,1993,1012,16.484,171737.593,0,9052,134674,1,1012,601,8316000.136,358.0501082,342,372,519,Upper Le Sueur,Le Sueur,LS AB UG,0.05,LES,30,1,26,UL,1,AB,21179.99961,1628.210257,1628.210257,1,1,1,1,1,1,1,1,4,ICMO
2,808,22640,22647,0,0,84.26683973,16144,895,32025JC6,32,LeSueur River,32025,JC6,PUBLIC DITCH OPEN,FREEBORN-WASECA,105,22,17,MSUWRC,1993,1013,0.705,8911.722,0,358,143747,1,1013,731,8751399.964,363.9283886,356,373,702,Upper Le Sueur,Le Sueur,LS AB UG,0.05,LES,43,1,24,UL,1,AB,19179.99931,84.62430826,84.62430826,1,1,1,1,1,1,1,1,1,ICMO
1,360,22704,22706,0,0,416.6370757,16145,734,32007JD10,32,LeSueur River,32007,JD10,PUBLIC DITCH OPEN,STEELE-WASECA,106,22,4,MSUWRC,1993,1014,3.884,44061.864,0,25,125874,1,1014,360,18204899.75,354.6926487,333,375,364,Upper Le Sueur,Le Sueur,LS AB UG,0.05,LES,29,1,18,UL,1,AB,37880.0004,415.3072992,415.3072992,1,1,1,1,1,1,1,1,4,ICMO
1,360,22707,22708,0,0,447.7559929,16146,735,32007JD10,32,LeSueur River,32007,JD10,PUBLIC DITCH OPEN,STEELE-WASECA,106,22,4,MSUWRC,1993,1015,4.171,47352.875,0,488,125629,1,1015,360,18204899.75,354.6926487,333,375,364,Upper Le Sueur,Le Sueur,LS AB UG,0.05,LES,29,1,18,UL,1,AB,37880.0004,449.5469167,449.5469167,1,1,1,1,1,1,1,1,4,ICMO
1,360,22709,22708,0,0,645.9532395,16147,736,32007JD10,32,LeSueur River,32007,JD10,PUBLIC DITCH OPEN,STEELE-WASECA,106,22,4,MSUWRC,1993,1016,6.022,68313.42,0,185,125763,1,1016,360,18204899.75,354.6926487,333,375,364,Upper Le Sueur,Le Sueur,LS AB UG,0.05,LES,29,1,18,UL,1,AB,37880.0004,648.5440753,648.5440753,1,1,1,1,1,1,1,1,4,ICMO
1,360,22706,22710,0,0,400.6262074,16148,734,32007JD10,32,LeSueur River,32007,JD10,PUBLIC DITCH OPEN,STEELE-WASECA,106,22,4,MSUWRC,1993,1017,3.735,42368.618,0,188,125478,1,1017,360,18204899.75,354.6926487,333,375,364,Upper Le Sueur,Le Sueur,LS AB UG,0.05,LES,29,1,18,UL,1,AB,37880.0004,399.5489463,399.5489463,1,1,1,1,1,1,1,1,4,ICMO
