ld,Name_str,mean,std,q25,q50,q75
lambda0.3,CC+FM,469.1772121456164,7071.8384814483925,0.5424441452586052,1.5487320934644875,8.68953989728503
lambda0.3,FM,58.84195172666446,886.9160048101515,0.06803073845754525,0.1942345380851313,1.0898003439354558
lambda0.3,GW,107.18374142097089,1615.5646257840501,0.12392160466368278,0.35380853106040455,1.9851292290145195
lambda0.3,GW+CC,420.5178822900872,6338.403624755013,0.48618615167099904,1.3881099152280405,7.788329912637397
lambda0.3,GW+CC+FM,361.7823367385221,5453.091464428881,0.4182784358266752,1.1942266189638095,6.700500296776345
lambda0.3,GW+FM,77.63309261856227,1170.1520824148683,0.08975631270895595,0.25626321769428145,1.4378274097618573
lambda0.3,NCMO,2027.4256783820297,30559.086331347087,2.3440294215396746,6.69243759914266,37.54955668139518
lambda0.3,RAMO,20580.90597247817,310212.94101997046,23.79482988492573,67.93661066015115,381.1749567978071
lambda0.3,Sub ISO-M-L,829.7651815248834,12506.927423944178,0.9593417007600126,2.739016161484262,15.367919548489526
lambda0.3,Sub ISO-M-M,934.7392226224844,14089.185564726942,1.0807085372632679,3.0855305748442547,17.312123347572882
lambda0.3,Sub ISO-M-S,1087.3591774562644,16389.60349145153,1.2571616956991083,3.5893219270994767,20.138767848453643
lambda0.3,Sub ISO-P-L,537.7858408992372,8105.966159475255,0.6217667296003023,1.775205976868579,9.960226966945134
lambda0.3,Sub ISO-P-M,680.2227071979062,10252.895904126237,0.7864466036277635,2.245383428839099,12.598272465545348
lambda0.3,Sub ISO-P-S,888.9287632792486,13398.691310424198,1.027744295140969,2.934312385289046,16.463676739615174
lambda0.3,Sub InC-M-L,1783.1323211510598,26876.88881683527,2.061587099267683,5.886036621495949,33.0250469240003
lambda0.3,Sub InC-M-M,5307.579398161925,80000.35649560674,6.136413481937324,17.520072031957707,98.3006457782139
lambda0.3,Sub InC-M-S,24403.406939660537,367828.93074690533,28.214254392802054,80.55450805994434,451.9707537842834
lambda0.3,Sub InC-P-L,1209.570299394083,18231.67359334004,1.3984573636568265,3.99273514032403,22.40221626939069
lambda0.3,Sub InC-P-M,3442.7821011469778,51892.543618628544,3.98040856594008,11.364463134233752,63.763097719013956
lambda0.3,Sub InC-P-S,14725.356616473638,221953.11468176995,17.024875199974748,48.607715356312525,272.72546600341843
