,Name,mean,std,q25,q50,q75
276,Sub066 ISO-P-L,347.8013717,2162.613087,0.235484822,0.890123699,7.864684513
277,Sub066 ISO-M-M,908.6567296,5649.986156,0.615221462,2.325513799,20.54706821
278,Sub066 ISO-M-L,518.9286014,3226.674406,0.351349417,1.328087477,11.73431178
279,Sub067 ISO-M-M,2054.26813,12773.34566,1.390877105,5.257462723,46.45229164
280,Sub067 ISO-M-S,255.9703293,1591.611849,0.173309056,0.655101661,5.788148204
281,Sub067 ISO-P-L,887.6977303,5519.664053,0.601030815,2.271873694,20.07313127
282,Sub067 ISO-P-S,187.4802186,1165.74346,0.126936664,0.479815778,4.239410456
283,Sub067 ISO-P-M,1415.426326,8801.056424,0.958338418,3.622482886,32.00643359
284,Sub068 ISO-P-M,318.0274816,1977.480395,0.215325904,0.813923755,7.191420199
285,Sub068 ISO-P-L,21.10887633,131.2540315,0.014292123,0.054023683,0.477326044
286,Sub068 ISO-M-M,78.3128449,486.9457025,0.053023041,0.200425084,1.770855059
287,Sub068 ISO-M-L,38.10176976,236.9150689,0.02579745,0.097513383,0.861579116
288,Sub069 ISO-M-S,6498.058942,40404.63452,4.3996211,16.63040095,146.9378435
289,Sub069 ISO-M-L,3.264287322,20.29718988,0.002210141,0.00835425,0.073813941
290,Sub069 ISO-P-M,1978.600207,12302.84596,1.339644854,5.063806754,44.74124507
291,Sub069 ISO-P-L,1448.62212,9007.466357,0.980814194,3.707440465,32.75707595
292,Sub069 ISO-P-S,5296.327783,32932.32491,3.585968622,13.55482543,119.7636079
293,Sub070 ISO-P-S,534.6832464,3324.636071,0.362016367,1.368408142,12.09056487
294,Sub070 ISO-P-L,14.1979955,88.28248931,0.009612994,0.036336752,0.321053234
295,Sub070 ISO-M-S,778.0836095,4838.088443,0.526814714,1.991339646,17.59447377
296,Sub070 ISO-M-M,382.3715256,2377.568729,0.258891131,0.978598661,8.646404701
297,Sub070 ISO-M-L,65.09653808,404.7673087,0.044074716,0.166600755,1.472000333
298,Sub071 ISO-M-L,625.9175125,3891.926582,0.423788076,1.601902858,14.15360653
299,Sub071 ISO-M-M,1670.444277,10386.74642,1.13100265,4.275147136,37.77304606
300,Sub071 ISO-P-L,429.2187114,2668.862397,0.290609814,1.098494078,9.705740192
301,Sub071 ISO-P-M,1163.026395,7231.645148,0.787446761,2.9765189,26.29902128
302,Sub072 ISO-P-M,8287.152799,51529.13863,5.610957463,21.20920647,187.3938621
303,Sub072 ISO-M-M,11786.40961,73287.35807,7.980188678,30.16481063,266.5210681
304,Sub073 ISO-P-L,0.884160776,5.497671434,0.000598636,0.002262822,0.019993152
305,Sub073 ISO-P-M,0.500075223,3.109444959,0.000338584,0.001279836,0.011307988
306,Sub074 ISO-P-S,10233.2568,63629.92468,6.92860021,26.18984609,231.4002843
307,Sub074 ISO-P-M,4464.375416,27759.28299,3.02268115,11.42562014,100.9510228
308,Sub074 ISO-P-L,180.0602136,1119.606206,0.121912824,0.460825852,4.071625038
