Subbasin,Label,Practices,Select,subbasin
Sub044,Sub044 ISO-M-L, ISO-M-L,1,44
Sub045,Sub045 ISO-P-S, ISO-P-S,1,45
Sub045,Sub045 ISO-P-M, ISO-P-M,0,45
Sub045,Sub045 ISO-P-L, ISO-P-L,0,45
Sub045,Sub045 ISO-M-S, ISO-M-S,1,45
Sub045,Sub045 ISO-M-M, ISO-M-M,1,45
Sub045,Sub045 ISO-M-L, ISO-M-L,0,45
Sub046,Sub046 ISO-P-S, ISO-P-S,0,46
Sub046,Sub046 ISO-P-M, ISO-P-M,1,46
Sub046,Sub046 ISO-P-L, ISO-P-L,1,46
Sub046,Sub046 ISO-M-S, ISO-M-S,1,46
Sub046,Sub046 ISO-M-M, ISO-M-M,1,46
Sub046,Sub046 ISO-M-L, ISO-M-L,1,46
Sub047,Sub047 ISO-P-S, ISO-P-S,1,47
Sub047,Sub047 ISO-P-M, ISO-P-M,0,47
Sub047,Sub047 ISO-P-L, ISO-P-L,0,47
Sub047,Sub047 ISO-M-S, ISO-M-S,0,47
Sub047,Sub047 ISO-M-M, ISO-M-M,0,47
Sub047,Sub047 ISO-M-L, ISO-M-L,0,47
Sub048,Sub048 ISO-P-S, ISO-P-S,0,48
Sub048,Sub048 ISO-P-M, ISO-P-M,0,48
Sub048,Sub048 ISO-P-L, ISO-P-L,1,48
Sub048,Sub048 ISO-M-S, ISO-M-S,1,48
Sub048,Sub048 ISO-M-M, ISO-M-M,1,48
Sub048,Sub048 ISO-M-L, ISO-M-L,0,48
Sub049,Sub049 ISO-P-S, ISO-P-S,0,49
Sub049,Sub049 ISO-P-M, ISO-P-M,1,49
Sub049,Sub049 ISO-P-L, ISO-P-L,1,49
Sub049,Sub049 ISO-M-S, ISO-M-S,0,49
Sub049,Sub049 ISO-M-M, ISO-M-M,0,49
Sub049,Sub049 ISO-M-L, ISO-M-L,0,49
Sub050,Sub050 ISO-P-S, ISO-P-S,1,50
Sub050,Sub050 ISO-P-M, ISO-P-M,1,50
Sub050,Sub050 ISO-P-L, ISO-P-L,0,50
Sub050,Sub050 ISO-M-S, ISO-M-S,0,50
Sub050,Sub050 ISO-M-M, ISO-M-M,1,50
Sub050,Sub050 ISO-M-L, ISO-M-L,1,50
Sub051,Sub051 ISO-P-S, ISO-P-S,1,51
Sub051,Sub051 ISO-P-M, ISO-P-M,1,51
Sub051,Sub051 ISO-P-L, ISO-P-L,0,51
Sub051,Sub051 ISO-M-S, ISO-M-S,0,51
Sub051,Sub051 ISO-M-M, ISO-M-M,1,51
Sub051,Sub051 ISO-M-L, ISO-M-L,0,51
Sub052,Sub052 ISO-P-S, ISO-P-S,0,52
Sub052,Sub052 ISO-P-M, ISO-P-M,1,52
Sub052,Sub052 ISO-P-L, ISO-P-L,0,52
Sub052,Sub052 ISO-M-S, ISO-M-S,0,52
Sub052,Sub052 ISO-M-M, ISO-M-M,1,52
Sub052,Sub052 ISO-M-L, ISO-M-L,0,52
Sub053,Sub053 ISO-P-S, ISO-P-S,0,53
Sub053,Sub053 ISO-P-M, ISO-P-M,1,53
Sub053,Sub053 ISO-P-L, ISO-P-L,1,53
Sub053,Sub053 ISO-M-S, ISO-M-S,0,53
Sub053,Sub053 ISO-M-M, ISO-M-M,1,53
Sub053,Sub053 ISO-M-L, ISO-M-L,1,53
Sub054,Sub054 ISO-P-S, ISO-P-S,1,54
Sub054,Sub054 ISO-P-M, ISO-P-M,0,54
Sub054,Sub054 ISO-P-L, ISO-P-L,0,54
Sub054,Sub054 ISO-M-S, ISO-M-S,1,54
Sub054,Sub054 ISO-M-M, ISO-M-M,0,54
Sub054,Sub054 ISO-M-L, ISO-M-L,0,54
Sub055,Sub055 ISO-P-S, ISO-P-S,1,55
Sub055,Sub055 ISO-P-M, ISO-P-M,1,55
Sub055,Sub055 ISO-P-L, ISO-P-L,1,55
Sub055,Sub055 ISO-M-S, ISO-M-S,0,55
Sub055,Sub055 ISO-M-M, ISO-M-M,1,55
Sub055,Sub055 ISO-M-L, ISO-M-L,0,55
Sub056,Sub056 ISO-P-S, ISO-P-S,1,56
Sub056,Sub056 ISO-P-M, ISO-P-M,0,56
Sub056,Sub056 ISO-P-L, ISO-P-L,1,56
Sub056,Sub056 ISO-M-S, ISO-M-S,1,56
Sub056,Sub056 ISO-M-M, ISO-M-M,0,56
Sub056,Sub056 ISO-M-L, ISO-M-L,1,56
Sub057,Sub057 ISO-P-S, ISO-P-S,1,57
Sub057,Sub057 ISO-P-M, ISO-P-M,1,57
Sub057,Sub057 ISO-P-L, ISO-P-L,1,57
Sub057,Sub057 ISO-M-S, ISO-M-S,0,57
Sub057,Sub057 ISO-M-M, ISO-M-M,0,57
Sub057,Sub057 ISO-M-L, ISO-M-L,0,57
Sub058,Sub058 ISO-P-S, ISO-P-S,1,58
Sub058,Sub058 ISO-P-M, ISO-P-M,1,58
Sub058,Sub058 ISO-P-L, ISO-P-L,0,58
Sub058,Sub058 ISO-M-S, ISO-M-S,1,58
Sub058,Sub058 ISO-M-M, ISO-M-M,0,58
Sub058,Sub058 ISO-M-L, ISO-M-L,1,58
Sub059,Sub059 ISO-P-S, ISO-P-S,0,59
Sub059,Sub059 ISO-P-M, ISO-P-M,1,59
Sub059,Sub059 ISO-P-L, ISO-P-L,1,59
Sub059,Sub059 ISO-M-S, ISO-M-S,1,59
Sub059,Sub059 ISO-M-M, ISO-M-M,1,59
Sub059,Sub059 ISO-M-L, ISO-M-L,0,59
Sub060,Sub060 ISO-P-S, ISO-P-S,0,60
Sub060,Sub060 ISO-P-M, ISO-P-M,1,60
Sub060,Sub060 ISO-P-L, ISO-P-L,0,60
Sub060,Sub060 ISO-M-S, ISO-M-S,1,60
Sub060,Sub060 ISO-M-M, ISO-M-M,0,60
Sub060,Sub060 ISO-M-L, ISO-M-L,0,60
Sub061,Sub061 ISO-P-S, ISO-P-S,1,61
Sub061,Sub061 ISO-P-M, ISO-P-M,1,61
Sub061,Sub061 ISO-P-L, ISO-P-L,1,61
Sub061,Sub061 ISO-M-S, ISO-M-S,1,61
Sub061,Sub061 ISO-M-M, ISO-M-M,1,61
Sub061,Sub061 ISO-M-L, ISO-M-L,1,61
Sub062,Sub062 ISO-P-S, ISO-P-S,0,62
Sub062,Sub062 ISO-P-M, ISO-P-M,1,62
Sub062,Sub062 ISO-P-L, ISO-P-L,0,62
Sub062,Sub062 ISO-M-S, ISO-M-S,1,62
Sub062,Sub062 ISO-M-M, ISO-M-M,1,62
Sub062,Sub062 ISO-M-L, ISO-M-L,1,62
Sub063,Sub063 ISO-P-S, ISO-P-S,1,63
Sub063,Sub063 ISO-P-M, ISO-P-M,1,63
Sub063,Sub063 ISO-P-L, ISO-P-L,0,63
Sub063,Sub063 ISO-M-S, ISO-M-S,1,63
Sub063,Sub063 ISO-M-M, ISO-M-M,1,63
Sub063,Sub063 ISO-M-L, ISO-M-L,1,63
