ID,Label,Genome section,Cost,NitRed,SedRed,WithinSectionID,AlleleCombo
3893,Sub067 InC-M500,subInC,1117292.448,1302.2873,-61346.8,67,InC-M500
3894,Sub067 InC-M1000,subInC,2230456.999,1341.9329,-63060.2,67,InC-M1000
3895,Sub067 InC-M2000,subInC,4455726.762,1435.4971,-62434.5,67,InC-M2000
3896,Sub068 InC-P25,subInC,68009.0354,35337.3905,-1632931,68,InC-P25
3897,Sub068 InC-P50,subInC,136018.0708,36645.9421,-1632860.8,68,InC-P50
3898,Sub068 InC-P250,subInC,680090.3538,47010.2485,-1632298.9,68,InC-P250
3899,Sub068 InC-P500,subInC,1336601.54,59528.0262,-1632933,68,InC-P500
3900,Sub068 InC-P1000,subInC,2669075.184,83345.7261,-1631771.3,68,InC-P1000
3901,Sub068 InC-P2000,subInC,5332963.13,126285.1523,-1630373.9,68,InC-P2000
3902,Sub068 InC-M25,subInC,56485.4542,27193.4383,-1596617.8,68,InC-M25
3903,Sub068 InC-M50,subInC,112970.9084,28573.5726,-1596519.1,68,InC-M50
3904,Sub068 InC-M250,subInC,564854.542,39465.5567,-1595731.5,68,InC-M250
3905,Sub068 InC-M500,subInC,1106129.916,52625.9099,-1594874.3,68,InC-M500
3906,Sub068 InC-M1000,subInC,2208131.936,77552.694,-1596326.5,68,InC-M1000
3907,Sub068 InC-M2000,subInC,4411076.636,122334.829,-1593374.4,68,InC-M2000
3908,Sub069 InC-P25,subInC,70376.5284,0,0,69,InC-P25
3909,Sub069 InC-P50,subInC,140753.0568,0,0,69,InC-P50
3910,Sub069 InC-P250,subInC,703765.2838,0,0,69,InC-P250
3911,Sub069 InC-P500,subInC,1383951.4,0,0,69,InC-P500
3912,Sub069 InC-P1000,subInC,2763774.904,-225833.0963,2324976.8,69,InC-P1000
3913,Sub069 InC-P2000,subInC,5522362.57,0,0,69,InC-P2000
3914,Sub069 InC-M25,subInC,58852.9472,0,0,69,InC-M25
3915,Sub069 InC-M50,subInC,117705.8944,0,0,69,InC-M50
3916,Sub069 InC-M250,subInC,588529.472,0,0,69,InC-M250
