Label,Practice,subbasin,HRU
Sub075 ISO-P-M, ISO-P-M,75,0
Sub075 ISO-P-L, ISO-P-L,75,0
Sub075 ISO-M-S, ISO-M-S,75,0
Sub075 ISO-M-M, ISO-M-M,75,0
Sub075 ISO-M-L, ISO-M-L,75,0
Sub076 ISO-P-S, ISO-P-S,76,0
Sub076 ISO-P-M, ISO-P-M,76,0
Sub076 ISO-P-L, ISO-P-L,76,0
Sub076 ISO-M-S, ISO-M-S,76,0
Sub076 ISO-M-M, ISO-M-M,76,0
Sub076 ISO-M-L, ISO-M-L,76,0
Sub077 ISO-P-S, ISO-P-S,77,0
Sub077 ISO-P-M, ISO-P-M,77,0
Sub077 ISO-P-L, ISO-P-L,77,0
Sub077 ISO-M-S, ISO-M-S,77,0
Sub077 ISO-M-M, ISO-M-M,77,0
Sub077 ISO-M-L, ISO-M-L,77,0
Sub078 ISO-P-S, ISO-P-S,78,0
Sub078 ISO-P-M, ISO-P-M,78,0
Sub078 ISO-P-L, ISO-P-L,78,0
Sub078 ISO-M-S, ISO-M-S,78,0
Sub078 ISO-M-M, ISO-M-M,78,0
Sub078 ISO-M-L, ISO-M-L,78,0
Sub079 ISO-P-S, ISO-P-S,79,0
Sub079 ISO-P-M, ISO-P-M,79,0
Sub079 ISO-P-L, ISO-P-L,79,0
Sub079 ISO-M-S, ISO-M-S,79,0
Sub079 ISO-M-M, ISO-M-M,79,0
Sub079 ISO-M-L, ISO-M-L,79,0
Sub080 ISO-P-S, ISO-P-S,80,0
Sub080 ISO-P-M, ISO-P-M,80,0
Sub080 ISO-P-L, ISO-P-L,80,0
Sub080 ISO-M-S, ISO-M-S,80,0
Sub080 ISO-M-M, ISO-M-M,80,0
Sub080 ISO-M-L, ISO-M-L,80,0
Sub081 ISO-P-S, ISO-P-S,81,0
Sub081 ISO-P-M, ISO-P-M,81,0
Sub081 ISO-P-L, ISO-P-L,81,0
Sub081 ISO-M-S, ISO-M-S,81,0
Sub081 ISO-M-M, ISO-M-M,81,0
Sub081 ISO-M-L, ISO-M-L,81,0
Sub082 ISO-P-S, ISO-P-S,82,0
Sub082 ISO-P-M, ISO-P-M,82,0
Sub082 ISO-P-L, ISO-P-L,82,0
Sub082 ISO-M-S, ISO-M-S,82,0
Sub082 ISO-M-M, ISO-M-M,82,0
Sub082 ISO-M-L, ISO-M-L,82,0
Sub083 ISO-P-S, ISO-P-S,83,0
Sub083 ISO-P-M, ISO-P-M,83,0
Sub083 ISO-P-L, ISO-P-L,83,0
Sub083 ISO-M-S, ISO-M-S,83,0
Sub083 ISO-M-M, ISO-M-M,83,0
Sub083 ISO-M-L, ISO-M-L,83,0
Sub084 ISO-P-S, ISO-P-S,84,0
Sub084 ISO-P-M, ISO-P-M,84,0
Sub084 ISO-P-L, ISO-P-L,84,0
Sub084 ISO-M-S, ISO-M-S,84,0
Sub084 ISO-M-M, ISO-M-M,84,0
Sub084 ISO-M-L, ISO-M-L,84,0
Sub085 ISO-P-S, ISO-P-S,85,0
Sub085 ISO-P-M, ISO-P-M,85,0
Sub085 ISO-P-L, ISO-P-L,85,0
Sub085 ISO-M-S, ISO-M-S,85,0
Sub085 ISO-M-M, ISO-M-M,85,0
Sub085 ISO-M-L, ISO-M-L,85,0
Sub086 ISO-P-S, ISO-P-S,86,0
Sub086 ISO-P-M, ISO-P-M,86,0
Sub086 ISO-P-L, ISO-P-L,86,0
Sub086 ISO-M-S, ISO-M-S,86,0
Sub086 ISO-M-M, ISO-M-M,86,0
Sub086 ISO-M-L, ISO-M-L,86,0
Sub087 ISO-P-S, ISO-P-S,87,0
Sub087 ISO-P-M, ISO-P-M,87,0
Sub087 ISO-P-L, ISO-P-L,87,0
Sub087 ISO-M-S, ISO-M-S,87,0
Sub087 ISO-M-M, ISO-M-M,87,0
Sub087 ISO-M-L, ISO-M-L,87,0
Sub088 ISO-P-S, ISO-P-S,88,0
Sub088 ISO-P-M, ISO-P-M,88,0
Sub088 ISO-P-L, ISO-P-L,88,0
Sub088 ISO-M-S, ISO-M-S,88,0
Sub088 ISO-M-M, ISO-M-M,88,0
Sub088 ISO-M-L, ISO-M-L,88,0
Sub089 ISO-P-S, ISO-P-S,89,0
Sub089 ISO-P-M, ISO-P-M,89,0
Sub089 ISO-P-L, ISO-P-L,89,0
Sub089 ISO-M-S, ISO-M-S,89,0
Sub089 ISO-M-M, ISO-M-M,89,0
Sub089 ISO-M-L, ISO-M-L,89,0
Sub090 ISO-P-S, ISO-P-S,90,0
Sub090 ISO-P-M, ISO-P-M,90,0
