LABEL,Genome Position
BS+GW+CC079,1106
BS+GW+FM079,1106
BS+CC+FM079,1106
GW+CC+FM079,1106
BS+GW+CC+FM079,1106
BS080,1107
GW080,1107
CC080,1107
FM080,1107
BS+GW080,1107
BS+CC080,1107
BS+FM080,1107
GW+CC080,1107
GW+FM080,1107
CC+FM080,1107
BS+GW+CC080,1107
BS+GW+FM080,1107
BS+CC+FM080,1107
GW+CC+FM080,1107
BS+GW+CC+FM080,1107
BS081,1108
GW081,1108
CC081,1108
FM081,1108
BS+GW081,1108
BS+CC081,1108
BS+FM081,1108
GW+CC081,1108
GW+FM081,1108
CC+FM081,1108
BS+GW+CC081,1108
BS+GW+FM081,1108
BS+CC+FM081,1108
GW+CC+FM081,1108
BS+GW+CC+FM081,1108
BS082,1109
GW082,1109
CC082,1109
FM082,1109
BS+GW082,1109
BS+CC082,1109
BS+FM082,1109
GW+CC082,1109
GW+FM082,1109
CC+FM082,1109
BS+GW+CC082,1109
BS+GW+FM082,1109
BS+CC+FM082,1109
GW+CC+FM082,1109
BS+GW+CC+FM082,1109
BS083,1110
GW083,1110
CC083,1110
FM083,1110
BS+GW083,1110
BS+CC083,1110
BS+FM083,1110
GW+CC083,1110
GW+FM083,1110
CC+FM083,1110
BS+GW+CC083,1110
BS+GW+FM083,1110
BS+CC+FM083,1110
GW+CC+FM083,1110
BS+GW+CC+FM083,1110
BS084,1111
GW084,1111
CC084,1111
FM084,1111
BS+GW084,1111
BS+CC084,1111
BS+FM084,1111
GW+CC084,1111
GW+FM084,1111
CC+FM084,1111
BS+GW+CC084,1111
BS+GW+FM084,1111
BS+CC+FM084,1111
GW+CC+FM084,1111
BS+GW+CC+FM084,1111
BS085,1112
GW085,1112
CC085,1112
FM085,1112
BS+GW085,1112
BS+CC085,1112
BS+FM085,1112
GW+CC085,1112
GW+FM085,1112
CC+FM085,1112
BS+GW+CC085,1112
BS+GW+FM085,1112
BS+CC+FM085,1112
GW+CC+FM085,1112
BS+GW+CC+FM085,1112
BS086,1113
GW086,1113
CC086,1113
FM086,1113
BS+GW086,1113
BS+CC086,1113
BS+FM086,1113
GW+CC086,1113
GW+FM086,1113
CC+FM086,1113
BS+GW+CC086,1113
BS+GW+FM086,1113
BS+CC+FM086,1113
GW+CC+FM086,1113
BS+GW+CC+FM086,1113
BS087,1114
GW087,1114
CC087,1114
FM087,1114
BS+GW087,1114
BS+CC087,1114
BS+FM087,1114
GW+CC087,1114
GW+FM087,1114
CC+FM087,1114
BS+GW+CC087,1114
BS+GW+FM087,1114
BS+CC+FM087,1114
GW+CC+FM087,1114
BS+GW+CC+FM087,1114
BS088,1115
GW088,1115
CC088,1115
FM088,1115
BS+GW088,1115
BS+CC088,1115
BS+FM088,1115
GW+CC088,1115
GW+FM088,1115
CC+FM088,1115
BS+GW+CC088,1115
BS+GW+FM088,1115
BS+CC+FM088,1115
GW+CC+FM088,1115
BS+GW+CC+FM088,1115
BS089,1116
GW089,1116
CC089,1116
FM089,1116
BS+GW089,1116
BS+CC089,1116
BS+FM089,1116
GW+CC089,1116
GW+FM089,1116
CC+FM089,1116
BS+GW+CC089,1116
BS+GW+FM089,1116
BS+CC+FM089,1116
GW+CC+FM089,1116
BS+GW+CC+FM089,1116
BS090,1117
GW090,1117
CC090,1117
FM090,1117
BS+GW090,1117
BS+CC090,1117
BS+FM090,1117
