Label,ld0.0top10,ld0.0top30,ld0.0top60,ld0.5top10,ld0.5top30,ld0.5top60,ld1.0top10,ld1.0top30,ld1.0top60
Sub050 ISO-M-L,0,0,1,0,0,1,0,0,1
Sub051 ISO-P-S,0,0,1,0,0,1,0,0,1
Sub051 ISO-P-M,0,0,1,0,0,0,0,0,1
Sub051 ISO-P-L,0,0,0,0,0,0,0,0,1
Sub051 ISO-M-S,0,0,1,0,0,1,0,0,1
Sub051 ISO-M-M,0,0,0,0,0,0,0,0,1
Sub051 ISO-M-L,0,0,0,0,0,0,0,0,1
Sub052 ISO-P-S,0,0,1,0,0,0,0,0,1
Sub052 ISO-P-M,0,0,0,0,0,0,0,0,1
Sub052 ISO-P-L,0,0,0,0,0,0,0,0,1
Sub052 ISO-M-S,0,0,1,0,0,1,0,0,1
Sub052 ISO-M-M,0,0,0,0,0,0,0,0,1
Sub052 ISO-M-L,0,0,0,0,0,0,0,0,1
Sub053 ISO-P-S,0,0,0,0,0,0,0,0,0
Sub053 ISO-P-M,0,0,0,0,0,0,0,0,0
Sub053 ISO-P-L,0,0,0,0,0,0,0,0,0
Sub053 ISO-M-S,0,0,1,0,0,0,0,0,0
Sub053 ISO-M-M,0,0,0,0,0,0,0,0,0
Sub053 ISO-M-L,0,0,0,0,0,0,0,0,0
Sub054 ISO-P-S,0,0,1,0,0,1,0,0,1
Sub054 ISO-P-M,0,0,1,0,0,0,0,0,1
Sub054 ISO-P-L,0,0,0,0,0,0,0,0,1
Sub054 ISO-M-S,0,0,1,0,0,1,0,0,1
Sub054 ISO-M-M,0,0,1,0,0,0,0,0,1
Sub054 ISO-M-L,0,0,0,0,0,0,0,0,1
Sub055 ISO-P-S,0,0,1,0,0,1,0,0,1
Sub055 ISO-P-M,0,0,1,0,0,1,0,0,1
Sub055 ISO-P-L,0,0,0,0,0,0,0,0,1
Sub055 ISO-M-S,0,0,1,0,0,1,0,0,1
Sub055 ISO-M-M,0,0,1,0,0,1,0,0,1
Sub055 ISO-M-L,0,0,1,0,0,0,0,0,1
Sub056 ISO-P-S,0,0,1,0,0,1,0,0,1
Sub056 ISO-P-M,0,0,0,0,0,0,0,0,1
Sub056 ISO-P-L,0,0,0,0,0,0,0,0,1
Sub056 ISO-M-S,0,0,1,0,0,1,0,0,1
Sub056 ISO-M-M,0,0,1,0,0,0,0,0,1
Sub056 ISO-M-L,0,0,0,0,0,0,0,0,1
Sub057 ISO-P-S,0,0,1,0,0,0,0,0,1
Sub057 ISO-P-M,0,0,0,0,0,0,0,0,1
Sub057 ISO-P-L,0,0,0,0,0,0,0,0,1
Sub057 ISO-M-S,0,0,1,0,0,1,0,0,1
Sub057 ISO-M-M,0,0,0,0,0,0,0,0,1
Sub057 ISO-M-L,0,0,0,0,0,0,0,0,1
Sub058 ISO-P-S,0,0,1,0,0,1,0,0,1
Sub058 ISO-P-M,0,0,0,0,0,0,0,0,1
Sub058 ISO-P-L,0,0,0,0,0,0,0,0,1
Sub058 ISO-M-S,0,0,1,0,0,1,0,0,1
Sub058 ISO-M-M,0,0,0,0,0,0,0,0,1
Sub058 ISO-M-L,0,0,0,0,0,0,0,0,1
Sub059 ISO-P-S,0,0,1,0,0,1,0,0,1
Sub059 ISO-P-M,0,0,0,0,0,0,0,0,1
Sub059 ISO-P-L,0,0,0,0,0,0,0,0,1
Sub059 ISO-M-S,0,0,1,0,0,1,0,0,1
Sub059 ISO-M-M,0,0,1,0,0,0,0,0,1
Sub059 ISO-M-L,0,0,0,0,0,0,0,0,1
Sub060 ISO-P-S,0,0,1,0,0,1,0,0,1
Sub060 ISO-P-M,0,0,0,0,0,0,0,0,1
Sub060 ISO-P-L,0,0,0,0,0,0,0,0,1
Sub060 ISO-M-S,0,0,1,0,0,1,0,0,1
Sub060 ISO-M-M,0,0,1,0,0,0,0,0,1
Sub060 ISO-M-L,0,0,0,0,0,0,0,0,1
Sub061 ISO-P-S,0,0,0,0,0,0,0,0,1
Sub061 ISO-P-M,0,0,0,0,0,0,0,0,1
Sub061 ISO-P-L,0,0,0,0,0,0,0,0,1
Sub061 ISO-M-S,0,0,0,0,0,0,0,0,1
Sub061 ISO-M-M,0,0,0,0,0,0,0,0,1
Sub061 ISO-M-L,0,0,0,0,0,0,0,0,1
Sub062 ISO-P-S,0,0,0,0,0,0,0,0,1
Sub062 ISO-P-M,0,0,0,0,0,0,0,0,1
Sub062 ISO-P-L,0,0,0,0,0,0,0,0,0
Sub062 ISO-M-S,0,0,0,0,0,0,0,0,1
Sub062 ISO-M-M,0,0,0,0,0,0,0,0,1
Sub062 ISO-M-L,0,0,0,0,0,0,0,0,1
Sub063 ISO-P-S,0,0,1,0,0,0,0,0,1
Sub063 ISO-P-M,0,0,0,0,0,0,0,0,1
Sub063 ISO-P-L,0,0,0,0,0,0,0,0,1
Sub063 ISO-M-S,0,0,1,0,0,0,0,0,1
Sub063 ISO-M-M,0,0,0,0,0,0,0,0,1
Sub063 ISO-M-L,0,0,0,0,0,0,0,0,1
Sub064 ISO-P-S,0,0,0,0,0,0,0,0,0
Sub064 ISO-P-M,0,0,0,0,0,0,0,0,0
Sub064 ISO-P-L,0,0,0,0,0,0,0,0,0
Sub064 ISO-M-S,0,0,0,0,0,0,0,0,1
